Date,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Snowdepth,Wind,Gust Wind,Sea Level Pressure
2000-1,59.81,46,36.72,34.56,0.00,0.00,9.9,0,30.2
2000-2,60.77,52.55,43.86,42.6,0.00,0.00,7.98,0.33,30.17
2000-3,
2000-4,
2000-5,67.31,62.61,58.94,57.57,0.00,0.00,6.28,0,29
2000-6,73.14,68.01,62.45,59.58,0.00,0.00,7.36,0.05,30.09
2000-7,76.97,71.15,64.74,60.17,0.00,0.00,7.64,0.03,29.94
2000-8,76.85,71.88,61.31,60.58,0.00,0.00,8.02,0,30.02
2000-9,74.87,68.55,60.67,59.12,0.00,0.00,7.41,0.06,29.94
2000-10,65.78,60.07,53.53,52.66,0.00,0.00,7.97,0.15,29.97
2000-11,59.35,52.7,47.03,40.25,0.00,0.00,7.89,0.39,29.88
2000-12,57.63,50.78,44.78,40.29,0.00,0.00,7.43,0.09,29.91
2001-1,56,48.99,39,38.08,0.00,0.00,7.39,0.17,29.91
2001-2,55.21,48.61,39.69,36.01,0.00,0.00,8.4,0.33,30
2001-3,62.84,55.41,48.55,45.11,0.00,0.00,8.85,0.36,29.8
2001-4,62.17,55.48,48.67,43.7,0.00,0.00,8.56,0.36,29.96
2001-5,67.23,61.31,53.45,51.68,0.00,0.00,7.59,0.02,29.94
2001-6,74.07,68.32,59.4,57.71,0.00,0.00,7.53,0.13,30
2001-7,78.13,72.03,65.55,61.11,0.00,0.00,7.07,0.02,29.92
2001-8,80.26,74.41,68.39,64.05,0.00,0.00,6.99,0.02,29.97
2001-9,72.83,66.78,58.77,56.73,0.00,0.00,7.65,0.03,29.96
2001-10,71.28,64.81,59.13,56.95,0.00,0.00,6.85,0.04,30.08
2001-11,57.52,50.84,45.45,38.64,0.00,0.00,9.28,1.3,30.02
2001-12,49.72,42.05,35.38,30.13,0.00,0.00,9.26,0.74,30.13
2002-1,53.84,46.2,38.28,37.14,0.00,0.00,7.59,0.25,30.3
2002-2,56.52,49.19,42.41,38.51,0.00,0.00,7.93,0.6,30.1
2002-3,61.23,52.47,46.65,44.72,0.00,0.00,8.19,0.23,29.99
2002-4,60.9,55.3,49.43,47.36,0.00,0.00,8.54,0.28,29.87
2002-5,64.45,58.64,52.74,50.31,0.00,0.00,8.02,0.9,29.94
2002-6,75.73,68.18,60.93,56.14,0.00,0.00,7,0.02,30
2002-7,77,71.04,64.55,59.91,0.00,0.00,6.82,0,29.97
2002-8,78.16,71.39,60.94,62.37,0.00,0.00,6.63,0.11,29.94
2002-9,77.57,70.5,57.73,61.26,0.00,0.00,6.59,0.01,29.9
2002-10,74.19,64.81,56.5,56.31,0.00,0.00,6.87,0.09,29.9
2002-11,69,57.52,48.81,48.59,0.00,0.00,6.98,0.25,29.84
2002-12,60.22,52.25,46.13,44.04,0.00,0.00,6.96,0.07,29.98
2003-1,56.25,47.42,39.5,32.83,0.00,0.00,8.19,0.89,30
2003-2,54.83,48.16,42.34,37.44,0.00,0.00,7.98,0.86,30.07
2003-3,62.29,54.22,47.13,46.59,0.00,0.00,7.17,0.09,30.16
2003-4,65.5,58.33,51.3,48.55,0.00,0.00,9.22,2.13,29.92
2003-5,72.13,65.55,58.94,56.73,0.00,0.00,7.55,0.47,30.04
2003-6,85.07,77.9,70.53,66.16,0.00,0.00,6.84,0.03,29.97
2003-7,87.45,80.98,74.42,67.9,0.00,0.00,7.41,0.16,29.98
2003-8,90.45,82.92,75.23,68.47,0.00,0.00,6.88,0.13,29.98
2003-9,79.23,72.54,66.07,61.92,0.00,0.00,7.8,0.56,30.05
2003-10,68.91,63.41,57.91,54.38,0.00,0.00,9.44,1.95,29.86
2003-11,64.77,58.59,53.58,51.81,0.00,0.00,7.58,0.64,29.98
2003-12,58.22,51.3,46.09,41.96,0.00,0.00,8.16,1.11,30.05
2004-1,50,50,50,24,0.00,0.00,11,0,29.98
2004-2,56.27,50.2,44.53,41.5,0.00,0.00,8.71,0.69,30.09
2004-3,59.55,53.48,48.23,43.2,0.00,0.00,8.98,1.37,30.11
2004-4,63.93,58.23,51.93,49.49,0.00,0.00,9.11,1.06,29.9
2004-5,68.94,63.36,57.32,54.15,0.00,0.00,8.03,0.71,29.93
2004-6,78.77,73.18,63.13,63.28,0.00,0.00,7.26,0.11,29.98
2004-7,81.87,76.65,70.81,65.22,0.00,0.00,8.02,0.27,30.01
2004-8,84.58,79.7,73.65,68.96,0.00,0.00,8.22,0.12,29.94
2004-9,79.93,74.41,68.5,64.97,0.00,0.00,8.98,0.49,30.1
2004-10,72.31,66.19,60.47,55.56,0.00,0.00,8.41,0.19,29.88
2004-11,60,52.81,47.1,40.8,0.00,0.00,9.29,0.91,30.07
2004-12,59.34,52.31,46.91,41.87,0.00,0.00,10.31,1.3,30.06
2005-1,55.53,46.78,39.53,32.16,0.00,0.00,10.2,1.36,30.22
2005-2,53.66,46.76,39.45,31.12,0.00,0.00,10.25,0.57,30.02
2005-3,58.77,52.69,46.45,42.43,0.00,0.00,8.5,0.09,30.04
2005-4,65.4,59.37,53.3,47.17,0.00,0.00,9.32,0.33,29.96
2005-5,72.03,66.27,60.87,56.06,0.00,0.00,7.59,0.06,30.01
2005-6,80.17,75.05,69.67,64.48,0.00,0.00,7.76,0.03,30.02
2005-7,82.32,78.35,73.45,67.49,0.00,0.00,7.34,0.03,29.99
2005-8,81.9,76.6,70.68,64.52,0.00,0.00,8.01,0.13,30
2005-9,78.23,71.46,62.93,61.42,0.00,0.00,7.9,0.34,30.01
2005-10,72.72,67.23,61.94,59.85,0.00,0.00,7.77,0.24,30.04
2005-11,62.29,56,50.68,45.56,0.00,0.00,8.84,0.41,29.98
2005-12,54.72,47,39.72,31.43,0.00,0.00,10.03,0.4,30.03
