Date,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Wind,Gust Wind,Sea Level Pressure,year,month,prev_year_temp,temp_annual_change,temp_annual_change_cat,passengers,annual_change,annual_change_cat,estacio,temp_annual_change_cat_encoded,annual_change_cat_encoded,estacio_encoded
2002-1,53.84,46.2,38.28,37.14,7.59,0.25,30.189999999999998,2002.0,1.0,48.99,-5.695039804041639,Decreix,1288250.0,-1.8,Decreix,Hivern,1.0,0.0,1.0
2002-2,56.52,49.19,42.41,38.51,7.93,0.6,30.1,2002.0,2.0,48.61,1.1931701296029589,Creix,1413507.0,1.8,Creix,Hivern,0.0,0.0,1.0
2002-3,61.23,52.47,46.65,44.72,8.19,0.23,29.99,2002.0,3.0,55.41,-5.305901461829991,Decreix,1740098.0,2.7,Creix,Primavera,1.0,0.0,2.0
2002-4,60.9,55.3,49.43,47.36,8.54,0.28,29.87,2002.0,4.0,55.48,-0.32444124008651715,Decreix,1844765.0,-1.6,Decreix,Primavera,1.0,0.0,2.0
2002-5,64.45,58.64,52.74,50.31,8.02,0.9,29.94,2002.0,5.0,61.31,-4.354917631707718,Decreix,1844175.0,0.6,Creix,Primavera,1.0,0.0,2.0
2002-6,75.73,68.18,60.93,56.14,7.0,0.02,30.0,2002.0,6.0,68.32,-0.2049180327868653,Decreix,1870536.0,-2.3,Decreix,Estiu,1.0,0.0,0.0
2002-7,77.0,71.04,64.55,59.91,6.82,0.0,29.97,2002.0,7.0,72.03,-1.3744273219491807,Decreix,2068622.0,2.3,Creix,Estiu,1.0,0.0,0.0
2002-8,78.16,71.39,60.94,62.37,6.63,0.11,29.94,2002.0,8.0,74.41,-4.0585942749630375,Decreix,2136234.0,3.4,Creix,Estiu,1.0,0.0,0.0
2002-9,77.57,70.5,57.73,61.26,6.59,0.01,29.9,2002.0,9.0,66.78,5.570530098831983,Creix,2011634.0,3.3,Creix,Tardor,0.0,0.0,3.0
2002-10,74.19,64.81,56.5,56.31,6.87,0.09,29.9,2002.0,10.0,64.81,0.0,Decreix,1888795.0,9.6,Creix,Tardor,1.0,0.0,3.0
